1,Intolerance: Love's Struggle Throughout the Ages†, huguenot intolerance medicis protestant wedding,1
2,Over the Hill to the Poorhouse†, family relationships gang idler poorhouse thief,1
3,The Big Parade†, chewing gum climbing a tree france translation problems world war one,1
4,The Gold Rush, little tramp gold klondike dance hall dance love alaska actress shares first name with character voice over narration 19th century klondike gold rush picturing character as food auld lang syne fighting over food eating shoe leather,1
5,Metropolis†, art deco bible quote dance silent film worker,1
6,Pandora's Box†, escape femme fatale german expressionism lust violence,1
7,The Broadway Melody†, sibling rivalry singer sister act whistling wisecrack humor,1
8,Hell's Angels†, bomb bombing mission munitions oxford royal flying corps,1
9,A Farewell to Arms†, 1910s ambulance driver italy lake nurse,1
10,42nd Street†, chorus girl chorus line director gala premiere song,1
11,She Done Him Wrong†, captain marriage proposal saloon saloon singer singer,1
12,It Happened One Night†, bus detective love money reporter,1
13,Top Hat†, dance dancer dancing horse tap dancing,1
14,Modern Times†, actor director writer invention machine music score composed by director tramp,1
15,The Charge of the Light Brigade†, attack fort india lancer massacre,1
16,Mutiny on the Bounty, tahiti bounty mutiny voyage breadfruit ship england tyrant boat flogging island bare chested male sea adventure kissing while having sex sex on beach,1
17,The Prisoner of Zenda†, coronation fictitious country king princess swashbuckler,1
18,Snow White and the Seven Dwarfs†, dwarf love princess queen snow white,1
19,Camille, courtesan terminal illness theatre tragedy tragic ending main character dies female protagonist consumption the illness top hat theatre box stockings female stockinged feet camera shot of feet fin de siecle 1890s,1
20,Alexander's Ragtime Band†, band dance ragtime singer violinist,1
21,You Can't Take It with You†, eccentric friend house monopoly stenographer,1
22,Gone with the Wind†, battle of the sexes gallantry honesty indifference scandal,1
23,The Wizard of Oz†, evil witch tornado witch wizard wizard of oz,1
24,Mr. Smith Goes to Washington†, camp corruption governor senate us senate,1
25,Pinocchio†, boy conscience fairy jiminy cricket pinocchio,1
26,Fantasia†, apprentice classical music disney mouse orchestra,1
27,Boom Town†, oil oil field oil tycoon partnership wildcatter,1
28,Rebecca†, death estate housekeeper love monte carlo,1
29,The Blue Bird†, 1800s bird blue bird of happiness foreign language adaptation past,1
30,How Green Was My Valley†, coal mine girl school village wales,1
31,Casablanca†, american expatriate casablanca morocco gestapo police visa,1
32,Bambi†, animal bambi deer forest hunter,1
33,A Guy Named Joe†, heaven pilot teacher training world war two,1
34,Bathing Beauty†, college teacher theatrical producer tutu wedding,1
35,State Fair†, fair farm iowa newspaper state fair,1
